INFO 2025-07-08 16:11:10,932 autoreload 64284 81628 Watching for file changes with StatReloader
INFO 2025-07-08 16:11:33,385 autoreload 64284 81628 C:\Users\soren\tradeprohub\backend\tradepro_hub\settings.py changed, reloading.
INFO 2025-07-08 16:11:34,800 autoreload 61920 13060 Watching for file changes with StatReloader
WARNING 2025-07-08 16:11:41,486 log 61920 45248 Not Found: /
WARNING 2025-07-08 16:11:41,487 basehttp 61920 45248 "GET / HTTP/1.1" 404 2298
WARNING 2025-07-08 16:11:41,561 log 61920 45248 Not Found: /favicon.ico
WARNING 2025-07-08 16:11:41,561 basehttp 61920 45248 "GET /favicon.ico HTTP/1.1" 404 2349
INFO 2025-07-08 16:11:53,927 basehttp 61920 45248 "GET /admin HTTP/1.1" 301 0
INFO 2025-07-08 16:11:53,952 basehttp 61920 60304 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-07-08 16:11:54,038 basehttp 61920 60304 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4183
INFO 2025-07-08 16:11:54,461 basehttp 61920 85164 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-07-08 16:11:54,463 basehttp 61920 85164 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-07-08 16:11:54,482 basehttp 61920 68756 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-07-08 16:11:54,509 basehttp 61920 63708 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-07-08 16:11:54,521 basehttp 61920 60304 "GET /static/admin/css/base.css HTTP/1.1" 200 21207
INFO 2025-07-08 16:11:54,532 basehttp 61920 18160 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
INFO 2025-07-08 16:11:54,536 basehttp 61920 40032 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-07-08 16:12:11,718 basehttp 61920 40032 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4345
INFO 2025-07-08 16:12:39,795 basehttp 61920 40032 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-07-08 16:12:39,811 basehttp 61920 40032 "GET /admin/ HTTP/1.1" 200 9978
INFO 2025-07-08 16:12:39,825 basehttp 61920 40032 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-07-08 16:12:39,848 basehttp 61920 40032 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-07-08 16:12:39,848 basehttp 61920 18160 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-07-08 16:12:39,848 basehttp 61920 60304 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
WARNING 2025-07-08 16:14:07,337 log 61920 79396 Unauthorized: /api/v1/auth/status/
WARNING 2025-07-08 16:14:07,339 basehttp 61920 79396 "GET /api/v1/auth/status/ HTTP/1.1" 401 58
WARNING 2025-07-08 16:14:07,341 log 61920 79396 Unauthorized: /api/v1/auth/status/
WARNING 2025-07-08 16:14:07,342 basehttp 61920 79396 "GET /api/v1/auth/status/ HTTP/1.1" 401 58
INFO 2025-07-08 16:14:19,070 basehttp 61920 79396 "OPTIONS /api/v1/login/ HTTP/1.1" 200 0
WARNING 2025-07-08 16:14:19,339 log 61920 79396 Bad Request: /api/v1/login/
WARNING 2025-07-08 16:14:19,340 basehttp 61920 79396 "POST /api/v1/login/ HTTP/1.1" 400 85
WARNING 2025-07-08 16:24:21,531 log 61920 73860 Bad Request: /api/v1/login/
WARNING 2025-07-08 16:24:21,532 basehttp 61920 73860 "POST /api/v1/login/ HTTP/1.1" 400 85
INFO 2025-07-08 17:20:27,218 basehttp 61920 85108 "GET /admin/users/user/add/ HTTP/1.1" 200 17237
INFO 2025-07-08 17:20:27,243 basehttp 61920 85108 "GET /static/admin/css/forms.css HTTP/1.1" 200 9047
INFO 2025-07-08 17:20:27,261 basehttp 61920 10000 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-07-08 17:20:27,261 basehttp 61920 85108 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2025-07-08 17:20:27,262 basehttp 61920 34976 "GET /static/admin/js/core.js HTTP/1.1" 200 5682
INFO 2025-07-08 17:20:27,264 basehttp 61920 81764 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
INFO 2025-07-08 17:20:27,270 basehttp 61920 81480 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-08 17:20:27,272 basehttp 61920 85108 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-07-08 17:20:27,274 basehttp 61920 10000 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11900
INFO 2025-07-08 17:20:27,274 basehttp 61920 81764 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-07-08 17:20:27,276 basehttp 61920 81480 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-07-08 17:20:27,279 basehttp 61920 34976 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2025-07-08 17:20:27,280 basehttp 61920 27036 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
INFO 2025-07-08 17:20:27,284 basehttp 61920 34976 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-07-08 17:21:03,273 basehttp 61920 34976 "POST /admin/users/user/add/ HTTP/1.1" 200 17491
INFO 2025-07-08 17:21:03,295 basehttp 61920 34976 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
WARNING 2025-07-08 17:21:35,527 log 61920 31264 Bad Request: /api/v1/login/
WARNING 2025-07-08 17:21:35,528 basehttp 61920 31264 "POST /api/v1/login/ HTTP/1.1" 400 85
INFO 2025-07-08 17:25:56,631 basehttp 61920 34976 "GET /admin/users/ HTTP/1.1" 200 6832
INFO 2025-07-08 17:25:58,928 basehttp 61920 34976 "GET /admin/users/auditlog/ HTTP/1.1" 200 14487
INFO 2025-07-08 17:25:58,950 basehttp 61920 34976 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
INFO 2025-07-08 17:25:58,955 basehttp 61920 84848 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-07-08 17:25:58,955 basehttp 61920 34976 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-07-08 17:25:59,073 basehttp 61920 34976 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-07-08 17:26:17,262 basehttp 61920 34976 "GET /admin/users/auditlog/?action__exact=password_change HTTP/1.1" 200 12613
INFO 2025-07-08 17:26:21,048 basehttp 61920 34976 "GET /admin/users/user/ HTTP/1.1" 200 18146
INFO 2025-07-08 17:26:21,065 basehttp 61920 34976 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-08 17:26:21,067 basehttp 61920 84848 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-07-08 17:26:21,116 basehttp 61920 84848 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-07-08 17:26:54,767 basehttp 61920 84848 "GET /admin/users/user/add/ HTTP/1.1" 200 17237
INFO 2025-07-08 17:26:54,796 basehttp 61920 84848 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-08 17:27:43,367 basehttp 61920 84848 "POST /admin/users/user/add/ HTTP/1.1" 302 0
INFO 2025-07-08 17:27:43,416 basehttp 61920 84848 "GET /admin/users/user/2/change/ HTTP/1.1" 200 36132
INFO 2025-07-08 17:27:43,441 basehttp 61920 84848 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-08 17:27:43,446 basehttp 61920 34976 "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
INFO 2025-07-08 17:27:43,446 basehttp 61920 60532 "GET /static/admin/js/collapse.js HTTP/1.1" 200 1803
INFO 2025-07-08 17:27:43,449 basehttp 61920 79756 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-07-08 17:27:43,449 basehttp 61920 69236 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-07-08 17:27:43,449 basehttp 61920 19272 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15292
INFO 2025-07-08 17:27:43,575 basehttp 61920 60532 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-07-08 17:27:43,575 basehttp 61920 34976 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-07-08 17:27:43,576 basehttp 61920 19272 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-07-08 17:27:43,576 basehttp 61920 79756 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-07-08 17:27:43,576 basehttp 61920 69236 "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
WARNING 2025-07-08 17:28:44,180 log 61920 81540 Bad Request: /api/v1/login/
WARNING 2025-07-08 17:28:44,181 basehttp 61920 81540 "POST /api/v1/login/ HTTP/1.1" 400 85
INFO 2025-07-08 17:29:35,061 basehttp 61920 69236 "GET /admin/password_change/ HTTP/1.1" 200 10012
INFO 2025-07-08 17:29:47,759 basehttp 61920 69236 "POST /admin/password_change/ HTTP/1.1" 302 0
INFO 2025-07-08 17:29:47,773 basehttp 61920 69236 "GET /admin/password_change/done/ HTTP/1.1" 200 8413
INFO 2025-07-08 17:56:54,365 autoreload 61920 13060 C:\Users\soren\tradeprohub\backend\tradepro_hub\settings.py changed, reloading.
